Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.48347947,-0.15920524,0.24392886,0.25209728,0.48184207,-0.19225225,0.078383215,0.65275073,1.0317254,0.45136827,0.2155432,0.87292296,0.5300947,-0.15769202,0.3778135,0.45593017,0.24046828,-0.2608657,0.22649834,0.25269866,Doctor
0.71533054,-0.0041784914,0.12763123,0.5258986,0.60932994,-0.09735451,-0.07657913,0.6524629,0.81030756,0.2621867,0.18390599,0.83143747,0.4945375,-0.22751932,0.30629906,0.4958417,0.25817218,-0.36715886,0.15270068,0.21163675,Doctor
1.054149,0.56912816,0.2590662,0.9288375,0.6877077,-0.23428719,0.013149855,0.45588562,0.73301727,0.1523483,0.34696513,0.78109396,0.2926465,-0.16403142,0.3466243,0.5737883,0.07711642,-0.2890768,0.2606108,0.18990673,Doctor
0.8585625,0.6550168,0.8567588,0.57790613,0.8685042,-0.13377835,0.3238996,0.81765467,1.0929685,0.16226836,0.5898376,1.0179058,0.48503804,0.00622223,0.38153413,0.57249147,0.262645,-0.36972532,0.34273648,0.21248455,Doctor
0.26703236,0.009511861,0.3149837,0.2340117,0.6302306,-0.115818135,0.21876922,0.6722987,1.157559,0.082519084,0.5732564,0.98201156,0.39789692,-0.0841924,0.32475784,0.4876566,0.14061008,-0.411406,0.06800577,0.23089208,Doctor
0.4787416,-0.15293874,0.18041821,0.34800375,0.638871,-0.15473913,-0.0270453,0.45889634,1.2739805,-0.048338115,0.16943508,1.0187484,0.4956666,-0.13647856,0.26255855,0.5219467,0.28971756,-0.32034782,0.15598302,0.28651682,Doctor
0.68117625,0.1477725,0.3317222,0.5436838,0.38054767,-0.16902421,0.27054846,0.27408946,0.9112642,0.036300614,0.40496194,0.9395524,0.36637682,0.11284655,0.18987639,0.5905986,0.31035003,-0.19046168,0.13933496,0.10086121,Doctor
0.34848,0.2618029,0.32797787,0.4810781,0.12211969,0.0031843164,0.1501885,0.2573836,0.8930181,0.28970614,0.43770736,0.7527553,0.36805055,0.11779943,0.26055396,0.47510767,0.15356152,-0.24208304,0.117211424,0.018712224,Doctor
0.47388893,-0.16985446,0.30397508,0.565437,0.6119895,-0.1976598,-0.03286124,0.6912309,0.8898575,0.20716757,0.12692255,0.92926013,0.44351572,-0.21518253,0.4163745,0.43687633,0.25927764,-0.423839,0.1901111,0.087186664,Doctor
0.41622066,-0.44444823,0.30052555,0.7064671,0.5001416,-0.2270377,0.037018545,0.5556066,0.6035853,0.20039111,0.13314274,0.8801866,0.4213897,0.014245439,0.29961732,0.36071545,0.34609565,-0.27488834,0.17734823,0.18718211,Doctor
0.54471225,0.09506644,-0.050321147,0.7986811,0.18010734,-0.15694626,0.06675782,0.44024643,0.6545194,0.3906001,0.20319897,0.38621995,0.18259488,-0.20864259,-0.072808355,0.34215906,0.025170885,-0.29279444,-0.2601201,0.1913808,Doctor
0.16276857,0.27702868,0.15471151,0.71198887,0.16579106,-0.12339053,-0.08777446,0.79317194,0.6105195,0.25825998,0.31658,0.88183844,0.36392468,-0.26445362,0.03531729,0.5826754,0.016909493,-0.39859933,-0.185325,0.26071563,Doctor
0.16427714,0.11465942,0.3238688,0.23611706,0.3981281,0.0571954,0.11366316,0.5462926,0.96087587,0.4600094,0.38783908,0.8773779,0.41622925,-0.08578111,0.12373578,0.49887818,0.01827717,-0.3248762,-0.06347155,0.32397535,Doctor
0.6326798,0.4958784,0.26918495,0.31033453,0.6901734,0.30526796,0.18605651,0.83338237,0.9513049,0.5576745,0.39010558,1.0393428,0.30392405,0.033419855,0.24033442,0.40461573,0.15358533,-0.42821202,-0.07175578,0.2914801,Doctor
0.78745174,0.51400614,0.34634662,0.6138384,0.478655,0.11699501,0.02177269,0.91448396,0.9289422,0.47542316,0.31742564,1.0319589,0.2945709,-0.0045292927,0.22180161,0.39492697,0.20715535,-0.55236524,-0.09612773,0.34274986,Doctor
0.79111063,0.2430603,0.2322843,0.8216626,0.0658574,-0.08443069,-0.13094342,0.81372947,0.92307764,0.020621397,0.3084207,0.8930336,0.30375755,-0.024406755,0.21700495,0.6461393,0.19930948,-0.5596224,-0.11803279,0.42785758,Doctor
0.9589091,0.40700284,0.39946082,1.1104201,0.0050493227,0.13363156,0.07771461,0.9605537,0.78530943,0.026228659,0.44200483,0.8568154,0.31411633,-0.046792228,0.15038015,0.77308804,0.21914057,-0.62672883,-0.0279005,0.45500314,Doctor
1.16049,-0.013998485,0.15131068,1.0238163,0.6328866,0.063007705,-0.027842373,1.0128006,0.89268297,0.04819773,0.41591638,0.9434508,0.41674623,-0.13733023,0.31165835,0.44837585,0.22666404,-0.41225275,0.059346296,0.2681186,Doctor
0.9223776,0.02562883,0.2948613,1.0467299,0.7188108,0.36082104,0.25951496,1.0443894,1.250257,0.44368106,0.6544409,1.0291047,0.4735703,-0.23979314,0.14018747,0.48066688,0.21078497,-0.6135619,-0.09265703,0.11766774,Doctor
0.76595294,0.0036526273,0.59465957,0.9234522,0.78436106,0.62126875,0.3583628,0.8512199,1.2505693,0.55725616,0.6862666,1.001524,0.4948741,-0.05401787,0.1673947,0.6172588,0.109834045,-0.56550175,-0.006417049,0.12144134,Doctor
0.7424555,0.15847416,0.3536883,0.46982715,0.39300704,0.37528527,0.021112079,0.32006487,0.82166225,0.5231251,0.36075762,0.9400092,0.51373017,-0.06922905,0.13934799,0.28392,0.6132758,-0.42200634,0.058061477,0.31963825,Doctor
0.8588045,0.004112298,-0.033995274,0.62419647,0.7278529,-0.13906758,0.002208503,0.7060385,1.1537803,0.39114138,0.59151715,1.0054024,0.49374184,-0.06413788,0.33351603,0.45480183,0.6277252,-0.567699,0.1613242,0.33142167,Doctor
0.38862717,-0.18497391,-0.18213338,0.91930443,0.7750599,-0.1317473,-0.24726613,0.7875763,1.2750582,0.38716856,0.36042488,1.2231253,0.28561938,-0.10610274,0.19483684,0.55199546,0.2006849,-0.5714725,-0.031669386,0.14429884,Doctor
0.524293,-0.10201998,-0.3630435,0.99266,0.71009463,-0.14895059,-0.14288005,1.0423357,1.2499307,0.32335255,0.10512214,1.223222,0.22263214,0.057649754,0.12763193,0.50665283,0.009959064,-0.546774,-0.20064998,0.18980868,Doctor
