Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.82162,0.41282272,0.24036272,0.9800327,0.8276408,0.29386127,0.047162898,0.82646155,0.9223095,0.5969906,0.6392819,1.2344466,0.68775785,0.96002924,0.67525333,0.5341769,0.26196408,0.5919557,0.4837035,0.2700141,Doctor
0.87127477,0.2955308,0.25578445,1.09353,0.7363489,0.44087026,-0.17433785,0.7204316,0.786184,0.6817366,0.37484127,1.2300417,0.60427797,0.97726583,0.6192995,0.4861177,0.23014823,0.6159686,0.34622958,0.15174507,Doctor
0.78009784,0.32762063,0.2678031,0.97550017,0.66273457,0.45961797,-0.26101583,0.6824812,0.85640365,0.65747845,0.28960586,1.1096867,0.5674817,0.9630872,0.6435013,0.50973225,0.24171829,0.6410988,0.35254562,0.17730334,Doctor
0.73001486,0.2896073,0.13377108,0.8159458,0.5172287,0.5351001,-0.30091256,0.5860074,0.88149107,0.63340944,0.21303895,1.0819536,0.5770524,0.9910988,0.6576355,0.5456451,0.24355422,0.665968,0.28511065,0.2432926,Doctor
0.7395799,0.4816212,0.2196849,0.39279243,0.37030968,0.3974283,-0.32357544,0.55635947,1.1774752,0.2089154,0.17065348,1.09169,0.5850175,0.9944983,0.74229527,0.63594764,0.3382102,0.6758397,0.4300079,0.3361117,Doctor
0.67240006,0.4816212,0.2196849,0.28249335,0.53085315,0.3974283,-0.32357544,0.5175649,1.2094727,0.2089154,0.17065348,1.1005095,0.5563088,0.9944983,0.74229527,0.6431567,0.30567655,0.6758397,0.4300079,0.33153486,Doctor
0.5185727,0.4816212,0.5058324,0.34152237,0.5105631,0.3974283,-0.37422484,0.53213537,1.2094727,0.2089154,-0.040986113,1.0865566,0.49526238,0.9944983,0.6409619,0.6480643,0.27484226,0.6758397,0.5352917,0.31267464,Doctor
0.22560222,0.2403281,0.4661541,0.39024475,0.5943366,0.36656442,-0.3088251,0.5287077,1.1662073,0.39152998,0.12535617,1.0090078,0.47039786,0.98788774,0.7443009,0.6138084,0.22098286,0.7349348,0.7271376,0.22394489,Doctor
0.33086067,0.21803993,0.47983295,0.38054478,0.44200844,0.28365585,-0.3425441,0.6029301,1.0977765,0.5459388,0.12551808,1.0187442,0.47800118,0.94372755,0.7540779,0.5890309,0.24181455,0.65043676,0.68031174,0.19185516,Doctor
0.26544005,0.09444092,0.3749798,0.2952861,0.41748232,0.19214186,-0.26850685,0.5767448,1.1286141,0.58681786,0.16236119,1.1086512,0.5203821,0.8864049,0.84250695,0.5713305,0.2029869,0.70093983,0.718587,0.16188577,Doctor
