Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.6765123,-0.17923349,-0.35736018,0.13465208,0.39254215,-0.28448665,-0.30100882,0.42146105,0.4235005,0.6133439,0.24447884,0.4946341,0.77709866,1.4285785,1.0982258,0.97590685,0.7309905,1.513238,1.3281246,0.87204885,Doctor
0.7602667,-0.17923349,-0.27385968,0.26967242,0.4144492,-0.28448665,-0.27242124,0.42599705,0.6107444,0.6133439,0.23989142,0.57112294,0.87938815,1.4285785,0.97609574,0.9819278,0.72833,1.513238,1.2996413,0.95274997,Doctor
0.47866756,-0.17923349,-0.12537974,0.24658126,0.23391537,-0.28448665,-0.2511642,0.18037494,0.6375681,0.6133439,0.25564018,0.5227893,0.8971687,1.4285785,0.9180647,0.91731083,0.68206996,1.513238,1.2555774,0.91791075,Doctor
0.6280795,0.027392609,-0.13734852,0.34721428,0.21756653,-0.10924256,-0.26989296,0.18912162,0.65315574,0.6319562,0.22785676,0.43760747,0.8798307,1.467498,0.9794454,0.8687074,0.71848637,1.3227688,1.1806582,0.91600513,Doctor
0.7046114,-0.14975159,-0.22495548,0.32222247,0.22725452,-0.05806935,-0.25790757,0.20385538,0.46525976,0.652731,0.2043221,0.4435225,0.8717512,1.3721167,1.0302343,0.8490362,0.7878364,1.493703,1.2431574,0.9114202,Doctor
0.76076674,-0.17146794,-0.42607212,0.38334414,0.23750433,-0.04346847,-0.3501445,0.3382538,0.5867622,0.652731,0.16153465,0.42844942,0.8483035,1.3654565,1.0540829,0.9004824,0.76924086,1.5091311,1.2717787,0.93089837,Doctor
0.64043695,-0.48082605,-0.25312763,0.3254408,0.43107513,0.12851404,-0.06360101,0.48890767,0.6867416,0.4050313,0.1679502,0.45071456,0.7885616,1.3291394,1.083808,0.7557985,0.6572404,1.5496738,1.2026418,0.7964053,Doctor
0.5747999,-0.19369501,-0.18040332,0.17798276,0.49012652,0.30421367,0.027820615,0.5967206,0.68136185,0.5694079,0.42894584,0.48003832,0.7618493,1.4718425,1.107553,0.8132394,0.4295806,1.5197906,1.0859673,0.7566354,Doctor
0.6248846,-0.2704702,-0.06445755,0.16478792,0.4821607,0.19099826,0.030726364,0.51848227,0.6681609,0.5896991,0.44591457,0.7243114,0.855181,1.4995488,1.1395817,0.8793189,0.59978765,1.4731219,1.1295892,0.76615906,Doctor
0.49361482,-0.22694165,-0.115708604,0.20457841,0.28283462,-0.019227821,-0.3224534,0.31922936,0.44954294,0.60370564,0.41607925,0.71414655,0.8325791,1.5118675,1.149548,1.0314744,0.6512476,1.5262768,1.2116909,0.82734185,Doctor
0.6217043,-0.14680983,0.06284413,0.214814,0.42975613,-0.3241326,-0.42972842,0.33487785,0.6414056,0.72115016,0.34283596,0.6966681,0.7274598,1.4795277,1.1275502,0.99240404,0.70286953,1.4622327,1.1058933,0.84057206,Doctor
0.56146723,-0.04846596,0.097612135,0.16814658,0.43150273,-0.30650595,-0.44887382,0.32915834,0.6501448,0.70567775,0.23922503,0.42683366,0.69282645,1.478072,1.1235747,0.93840015,0.77159774,1.4841018,1.0021433,0.90776664,Doctor
0.4687888,0.118299805,0.1260681,0.031098248,0.37354505,-0.28602433,-0.34734908,0.30960867,0.64844745,0.6779738,0.23559347,0.39545456,0.6077766,1.4457227,1.1034397,0.8092649,0.777938,1.4000214,0.97009826,0.9322251,Doctor
0.2305483,0.118299805,-0.017632512,0.06789904,0.24049172,-0.28602433,-0.372986,0.25195706,0.56013733,0.6779738,0.23540303,0.5342762,0.6122269,1.4457227,1.0922099,0.78890884,0.7134314,1.4000214,1.0942612,0.9131494,Doctor
0.5519428,0.118299805,-0.08608835,0.18632232,0.38714984,-0.28602433,-0.2974408,0.33768263,0.5529069,0.6779738,0.18513852,0.5345744,0.57045454,1.4457227,1.0866039,0.81332994,0.6274616,1.4000214,1.0955034,0.8278662,Doctor
0.6297706,-0.27695832,-0.17699543,0.22478104,0.39613032,0.14876598,-0.39701518,0.31432974,0.48843732,0.37725082,0.13993537,0.5317775,0.6020228,1.3179264,1.1195092,0.83087885,0.6063197,1.4502991,1.024676,0.7015776,Doctor
0.613562,-0.23856032,-0.20812005,0.34414637,0.44032246,0.12271339,-0.28155953,0.43080723,0.5112394,0.50796694,0.22035594,0.4929086,0.6235711,1.3621874,1.1533211,0.85232997,0.5866858,1.3964374,1.0231137,0.66710234,Doctor
0.5153521,-0.24159707,-0.123015076,0.28404108,0.37939036,0.12587358,-0.28251263,0.43901354,0.65582556,0.5061188,0.2702069,0.64868224,0.6986931,1.3792714,1.0948591,0.80222446,0.6230731,1.3901376,1.1825427,0.70819545,Doctor
0.49994853,-0.21128447,0.0183593,0.2295089,0.41450527,0.041976236,-0.15908416,0.48733306,0.6137298,0.48209536,0.41670617,0.6226667,0.7738885,1.4300746,1.0453625,0.7466201,0.73602617,1.3472809,1.1680274,0.77956355,Doctor
0.41608992,-0.20333743,0.13144141,0.089122295,0.31750235,-0.027776893,-0.176925,0.44625112,0.69046867,0.44470075,0.4186034,0.648465,0.7680167,1.467865,1.0563501,0.7270833,0.75020117,1.3834159,1.1025496,0.8041878,Doctor
0.446487,0.30770275,0.1092826,-0.08102914,0.3481062,0.35512123,-0.016320046,0.5334542,0.7158215,0.54462904,0.42785785,0.3740811,0.72650325,1.2244589,1.0527337,0.7912332,0.7624231,1.0153323,0.9816245,0.7971257,Doctor
0.47224566,0.26427492,0.01454525,0.042580504,0.3154956,0.33315015,-0.03014617,0.54321027,0.7122564,0.6107174,0.22428252,0.35803905,0.6271821,1.2709994,1.0375903,0.79524446,0.71806383,1.032631,1.1774087,0.9018534,Doctor
0.5707978,0.26427492,-0.13659644,0.19780795,0.27431795,0.33315015,-0.14569542,0.39843354,0.56814504,0.6107174,0.092433244,0.23508069,0.65463144,1.2709994,1.017195,0.8827114,0.75623745,1.032631,1.2128056,0.88073945,Doctor
0.64562905,-0.5195247,0.040195405,0.4205929,0.41816494,0.12699097,-0.110566966,0.41974425,0.5833315,0.49080294,0.29911634,0.42946857,0.6703939,1.5510142,1.0148242,0.900347,0.72588664,1.1731291,1.1720511,0.8770296,Doctor
0.79437923,-0.5195247,0.105278954,0.553493,0.37346593,0.12699097,-0.05437902,0.44761953,0.5123544,0.49080294,0.30033678,0.6057447,0.8653303,1.5510142,0.9606385,0.9453704,0.7344798,1.1731291,0.9479912,0.78885436,Doctor
0.63936716,-0.5195247,0.051947728,0.44924304,0.25517467,0.12699097,-0.013087397,0.5084115,0.5621812,0.49080294,0.30033678,0.6683452,0.9549495,1.5510142,0.9714961,0.8692117,0.7165488,1.1731291,1.0402092,0.7935785,Doctor
0.5623155,-0.011596921,-0.27301794,0.3182249,0.27711993,-0.061427522,-0.23751034,0.36190158,0.6865149,0.44973665,0.08769737,0.6956133,0.98800653,1.4057844,1.0136716,0.9276127,0.67728686,1.4275115,1.000106,0.78814304,Doctor
0.4240991,-0.011596921,-0.45259067,0.009911314,0.4041181,-0.061427522,-0.1269013,0.23935981,0.6695077,0.44973665,0.098079115,0.6465496,0.90839714,1.4057844,1.0259869,0.9251577,0.6225955,1.4275115,1.0016997,0.7536849,Doctor
